year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,edu_option_type,nslp_provision_status,charter_school,charter_school_number,charter_funding_type,IRC,low_grade,high_grade,enrollment_K12,free_meal_count_K12,perc_eligible_free_K12,FRPM_count_K12,perc_eligible_FRPM_K12,enrollment_age_5_17,free_meal_count_age_5_17,perc_eligible_free_5_17,FRPM_count_5_17,perc_eligible_FRPM_5_17,CALPADS
2017-2018,9,61838,136200,El Dorado,Buckeye Union Elementary,Clarksville Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1891,Directly funded,Y,K,12,679,225,33.10%,279,41.10%,653,215,32.90%,266,40.70%,Y
2017-2018,9,61838,6005466,El Dorado,Buckeye Union Elementary,Buckeye Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,383,165,43.10%,195,50.90%,382,165,43.20%,195,51.00%,Y
2017-2018,9,61838,6005474,El Dorado,Buckeye Union Elementary,William Brooks Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,511,44,8.60%,47,9.20%,500,44,8.80%,47,9.40%,Y
2017-2018,9,61838,6096614,El Dorado,Buckeye Union Elementary,Camerado Springs Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,672,143,21.30%,166,24.70%,672,143,21.30%,166,24.70%,Y
2017-2018,9,61838,6107361,El Dorado,Buckeye Union Elementary,Blue Oak Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,445,97,21.80%,110,24.70%,433,96,22.20%,109,25.20%,Y
2017-2018,9,61838,6110456,El Dorado,Buckeye Union Elementary,Silva Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,503,39,7.80%,41,8.20%,497,39,7.80%,41,8.20%,Y
2017-2018,9,61838,6112361,El Dorado,Buckeye Union Elementary,Rolling Hills Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1012,88,8.70%,98,9.70%,1012,88,8.70%,98,9.70%,Y
2017-2018,9,61846,123125,El Dorado,Camino Union Elementary,Camino Polytechnic,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1150,Directly funded,N,K,8,74,17,23.00%,18,24.30%,74,17,23.00%,18,24.30%,Y
2017-2018,9,61846,6005482,El Dorado,Camino Union Elementary,Camino Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,392,204,52.00%,223,56.90%,386,201,52.10%,220,57.00%,Y
2017-2018,9,61853,1,El Dorado,El Dorado Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,1,4.50%,1,4.50%,19,1,5.30%,1,5.30%,Y
2017-2018,9,61853,930081,El Dorado,El Dorado Union High,Oak Ridge High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,8,12,2457,173,7.00%,190,7.70%,2378,168,7.10%,184,7.70%,Y
2017-2018,9,61853,930164,El Dorado,El Dorado Union High,Union Mine High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1033,319,30.90%,357,34.60%,986,301,30.50%,339,34.40%,Y
2017-2018,9,61853,930214,El Dorado,El Dorado Union High,EDUHSD Virtual Academy at Shenandoah,High School District,High Schools (Public),Traditional,N/A,Yes,366,Locally funded,N,9,12,90,10,11.10%,12,13.30%,86,10,11.60%,12,14.00%,Y
2017-2018,9,61853,932756,El Dorado,El Dorado Union High,El Dorado High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1127,420,37.30%,462,41.00%,1077,399,37.00%,440,40.90%,Y
2017-2018,9,61853,934554,El Dorado,El Dorado Union High,Independence Continuation,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,109,77,70.60%,79,72.50%,87,61,70.10%,62,71.30%,Y
2017-2018,9,61853,936302,El Dorado,El Dorado Union High,Ponderosa High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1827,352,19.30%,379,20.70%,1767,337,19.10%,362,20.50%,Y
2017-2018,9,61879,6005508,El Dorado,Gold Oak Union Elementary,Gold Oak Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,331,118,35.60%,130,39.30%,323,116,35.90%,128,39.60%,Y
2017-2018,9,61879,6109698,El Dorado,Gold Oak Union Elementary,Pleasant Valley Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,158,63,39.90%,70,44.30%,158,63,39.90%,70,44.30%,Y
2017-2018,9,61887,6005516,El Dorado,Gold Trail Union Elementary,Gold Trail,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,8,420,110,26.20%,126,30.00%,420,110,26.20%,126,30.00%,Y
2017-2018,9,61887,6110167,El Dorado,Gold Trail Union Elementary,Sutters Mill,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,289,93,32.20%,101,34.90%,285,92,32.30%,100,35.10%,Y
2017-2018,9,61895,6005524,El Dorado,Indian Diggings Elementary,Indian Diggings Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,19,7,36.80%,7,36.80%,19,7,36.80%,7,36.80%,Y
2017-2018,9,61903,110155,El Dorado,Lake Tahoe Unified,Lake Tahoe Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,396,105,26.50%,132,33.30%,396,105,26.50%,132,33.30%,Y
2017-2018,9,61903,930040,El Dorado,Lake Tahoe Unified,Mt. Tallac High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,78,56,71.80%,62,79.50%,70,49,70.00%,55,78.60%,Y
2017-2018,9,61903,930107,El Dorado,Lake Tahoe Unified,Transitional Learning Center (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,15,12,80.00%,12,80.00%,13,11,84.60%,11,84.60%,Y
2017-2018,9,61903,937805,El Dorado,Lake Tahoe Unified,South Tahoe High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1013,487,48.10%,569,56.20%,982,476,48.50%,555,56.50%,Y
2017-2018,9,61903,6005540,El Dorado,Lake Tahoe Unified,Bijou Community,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,602,386,64.10%,456,75.70%,602,386,64.10%,456,75.70%,Y
2017-2018,9,61903,6005565,El Dorado,Lake Tahoe Unified,South Tahoe Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,902,465,51.60%,540,59.90%,902,465,51.60%,540,59.90%,Y
2017-2018,9,61903,6005573,El Dorado,Lake Tahoe Unified,Tahoe Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,430,313,72.80%,332,77.20%,382,290,75.90%,305,79.80%,Y
2017-2018,9,61903,6095301,El Dorado,Lake Tahoe Unified,Sierra House Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,470,235,50.00%,268,57.00%,470,235,50.00%,268,57.00%,Y
2017-2018,9,61911,1,El Dorado,Latrobe,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2017-2018,9,61911,6005581,El Dorado,Latrobe,Latrobe Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,52,6,11.50%,6,11.50%,50,5,10.00%,5,10.00%,Y
2017-2018,9,61911,6103857,El Dorado,Latrobe,Miller's Hill,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,8,84,6,7.10%,6,7.10%,84,6,7.10%,6,7.10%,Y
2017-2018,9,61929,1,El Dorado,Mother Lode Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,50.00%,2,50.00%,4,2,50.00%,2,50.00%,Y
2017-2018,9,61929,6005615,El Dorado,Mother Lode Union Elementary,Herbert C. Green Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,8,478,239,50.00%,271,56.70%,478,239,50.00%,271,56.70%,Y
2017-2018,9,61929,6106678,El Dorado,Mother Lode Union Elementary,Indian Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,4,582,303,52.10%,349,60.00%,552,290,52.50%,335,60.70%,Y
2017-2018,9,61945,6005631,El Dorado,Pioneer Union Elementary,Pioneer Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,4,152,91,59.90%,103,67.80%,149,90,60.40%,101,67.80%,Y
2017-2018,9,61945,6112569,El Dorado,Pioneer Union Elementary,Mountain Creek Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,8,134,75,56.00%,81,60.40%,134,75,56.00%,81,60.40%,Y
2017-2018,9,61945,6114664,El Dorado,Pioneer Union Elementary,Walt Tyler Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,2,18,10,55.60%,10,55.60%,18,10,55.60%,10,55.60%,Y
2017-2018,9,61952,1,El Dorado,Placerville Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,Y
2017-2018,9,61952,6005649,El Dorado,Placerville Union Elementary,Edwin Markham Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,371,165,44.50%,183,49.30%,371,165,44.50%,183,49.30%,Y
2017-2018,9,61952,6005656,El Dorado,Placerville Union Elementary,Louisiana Schnell Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,436,283,64.90%,307,70.40%,427,276,64.60%,299,70.00%,Y
2017-2018,9,61952,6005664,El Dorado,Placerville Union Elementary,Sierra Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,472,192,40.70%,215,45.60%,460,186,40.40%,208,45.20%,Y
2017-2018,9,61960,1,El Dorado,Pollock Pines Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,66.70%,2,66.70%,3,2,66.70%,2,66.70%,Y
2017-2018,9,61960,6005680,El Dorado,Pollock Pines Elementary,Pinewood Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,4,372,181,48.70%,201,54.00%,365,179,49.00%,198,54.20%,Y
2017-2018,9,61960,6107437,El Dorado,Pollock Pines Elementary,Sierra Ridge Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,8,326,153,46.90%,167,51.20%,326,153,46.90%,167,51.20%,Y
2017-2018,9,61978,1,El Dorado,Rescue Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,33.30%,1,33.30%,3,1,33.30%,1,33.30%,Y
2017-2018,9,61978,101519,El Dorado,Rescue Union Elementary,Pleasant Grove Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,554,121,21.80%,137,24.70%,554,121,21.80%,137,24.70%,Y
2017-2018,9,61978,108258,El Dorado,Rescue Union Elementary,Lakeview Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,548,34,6.20%,36,6.60%,542,34,6.30%,36,6.60%,Y
2017-2018,9,61978,6005706,El Dorado,Rescue Union Elementary,Jackson Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,461,37,8.00%,41,8.90%,448,36,8.00%,40,8.90%,Y
2017-2018,9,61978,6005714,El Dorado,Rescue Union Elementary,Rescue Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,447,119,26.60%,127,28.40%,433,118,27.30%,126,29.10%,Y
2017-2018,9,61978,6098693,El Dorado,Rescue Union Elementary,Green Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,418,142,34.00%,164,39.20%,409,139,34.00%,161,39.40%,Y
2017-2018,9,61978,6103527,El Dorado,Rescue Union Elementary,Marina Village Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,773,49,6.30%,54,7.00%,773,49,6.30%,54,7.00%,Y
2017-2018,9,61978,6109441,El Dorado,Rescue Union Elementary,Lake Forest Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,425,42,9.90%,47,11.10%,418,41,9.80%,46,11.00%,Y
2017-2018,9,61986,6005722,El Dorado,Silver Fork Elementary,Silver Fork Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,6,2,33.30%,2,33.30%,6,2,33.30%,2,33.30%,Y
2017-2018,9,73783,1,El Dorado,Black Oak Mine Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2017-2018,9,73783,121566,El Dorado,Black Oak Mine Unified,American River Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1176,Locally funded,N,K,12,186,91,48.90%,95,51.10%,183,89,48.60%,93,50.80%,Y
2017-2018,9,73783,930073,El Dorado,Black Oak Mine Unified,Golden Sierra Junior Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,504,209,41.50%,224,44.40%,497,205,41.20%,220,44.30%,Y
2017-2018,9,73783,930099,El Dorado,Black Oak Mine Unified,Divide High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,12,8,66.70%,8,66.70%,8,5,62.50%,5,62.50%,Y
2017-2018,9,73783,6005490,El Dorado,Black Oak Mine Unified,Georgetown Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,222,126,56.80%,137,61.70%,215,124,57.70%,135,62.80%,Y
2017-2018,9,73783,6005623,El Dorado,Black Oak Mine Unified,Northside Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,296,83,28.00%,96,32.40%,285,80,28.10%,93,32.60%,Y
2017-2018,9,73783,6110498,El Dorado,Black Oak Mine Unified,Otter Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,18,14,77.80%,14,77.80%,16,13,81.30%,13,81.30%,Y
2017-2018,10,10108,109991,Fresno,Fresno County Office of Education,Crescent View West Public Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Yes,746,Directly funded,Y,K,12,1518,1251,82.40%,1321,87.00%,1151,949,82.50%,1013,88.00%,Y
2017-2018,10,10108,111682,Fresno,Fresno County Office of Education,Hume Lake Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Yes,787,Directly funded,Y,K,12,78,17,21.80%,43,55.10%,77,17,22.10%,43,55.80%,Y
2017-2018,10,10108,119628,Fresno,Fresno County Office of Education,Big Picture Educational Academy,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,1085,Directly funded,Y,K,12,322,258,80.10%,265,82.30%,318,256,80.50%,263,82.70%,Y
2017-2018,10,10108,1030337,Fresno,Fresno County Office of Education,Fresno County Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No,N/A,N/A,N,K,12,258,258,100.00%,258,100.00%,232,232,100.00%,232,100.00%,Y
2017-2018,10,10108,1030899,Fresno,Fresno County Office of Education,Violet Heintz Education Academy,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,7,12,103,103,100.00%,103,100.00%,103,103,100.00%,103,100.00%,Y
2017-2018,10,10108,6069488,Fresno,Fresno County Office of Education,Fresno County Special Education Local Plan Area,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,617,435,70.50%,476,77.10%,440,325,73.90%,353,80.20%,Y
2017-2018,10,10108,6085112,Fresno,Fresno County Office of Education,Edison-Bethune Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,195,Directly funded,Y,K,6,580,543,93.60%,562,96.90%,567,532,93.80%,550,97.00%,Y
2017-2018,10,61994,6005730,Fresno,Alvina Elementary,Alvina Elementary Charter,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,Yes,00D5,Locally funded,N,K,8,188,135,71.80%,149,79.30%,183,131,71.60%,145,79.20%,Y
2017-2018,10,62026,6005763,Fresno,Big Creek Elementary,Big Creek Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,59,11,18.60%,14,23.70%,59,11,18.60%,14,23.70%,Y
2017-2018,10,62042,6005797,Fresno,Burrel Union Elementary,Burrel Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,8,117,95,81.20%,109,93.20%,115,93,80.90%,107,93.00%,Y
2017-2018,10,62109,6005839,Fresno,Clay Joint Elementary,Clay Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,255,42,16.50%,44,17.30%,254,41,16.10%,43,16.90%,Y
2017-2018,10,62117,1,Fresno,Clovis Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,8,38.10%,8,38.10%,20,8,40.00%,8,40.00%,Y
2017-2018,10,62117,101949,Fresno,Clovis Unified,Clovis Community Day Elementary,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,4,6,9,7,77.80%,7,77.80%,9,7,77.80%,7,77.80%,Y
2017-2018,10,62117,106419,Fresno,Clovis Unified,James S. Fugman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,839,77,9.20%,95,11.30%,829,74,8.90%,92,11.10%,Y
2017-2018,10,62117,108142,Fresno,Clovis Unified,Woods (Harold L.) Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,740,80,10.80%,110,14.90%,729,80,11.00%,110,15.10%,Y
2017-2018,10,62117,110270,Fresno,Clovis Unified,Clovis Community Day Secondary,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,61,40,65.60%,42,68.90%,60,40,66.70%,41,68.30%,Y
2017-2018,10,62117,111153,Fresno,Clovis Unified,Reagan Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,672,164,24.40%,200,29.80%,661,159,24.10%,195,29.50%,Y
2017-2018,10,62117,113548,Fresno,Clovis Unified,Granite Ridge Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1361,259,19.00%,325,23.90%,1361,259,19.00%,325,23.90%,Y
2017-2018,10,62117,113555,Fresno,Clovis Unified,Clovis North High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2498,448,17.90%,566,22.70%,2417,427,17.70%,543,22.50%,Y
2017-2018,10,62117,113563,Fresno,Clovis Unified,Bud Rank Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,851,88,10.30%,110,12.90%,840,87,10.40%,109,13.00%,Y
2017-2018,10,62117,118018,Fresno,Clovis Unified,Clovis Online Charter,Unified School District,High Schools (Public),Traditional,N/A,Yes,1006,Locally funded,N,7,12,365,120,32.90%,130,35.60%,344,114,33.10%,124,36.00%,Y
2017-2018,10,62117,123869,Fresno,Clovis Unified,Roger S. Oraze Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,852,303,35.60%,376,44.10%,835,295,35.30%,368,44.10%,Y
2017-2018,10,62117,133314,Fresno,Clovis Unified,Virginia R. Boris Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,684,230,33.60%,286,41.80%,667,224,33.60%,279,41.80%,Y
2017-2018,10,62117,1030196,Fresno,Clovis Unified,Clovis West High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2006,673,33.50%,812,40.50%,1932,646,33.40%,780,40.40%,Y
2017-2018,10,62117,1030469,Fresno,Clovis Unified,Enterprise Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,89,31,34.80%,38,42.70%,86,30,34.90%,37,43.00%,Y
2017-2018,10,62117,1030501,Fresno,Clovis Unified,Buchanan High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2700,625,23.10%,789,29.20%,2602,603,23.20%,758,29.10%,Y
2017-2018,10,62117,1030683,Fresno,Clovis Unified,Clovis East High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2492,1010,40.50%,1271,51.00%,2430,983,40.50%,1236,50.90%,Y
2017-2018,10,62117,1031004,Fresno,Clovis Unified,Gateway High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,235,156,66.40%,171,72.80%,205,137,66.80%,150,73.20%,Y
2017-2018,10,62117,1031053,Fresno,Clovis Unified,Clovis High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2904,1059,36.50%,1305,44.90%,2699,985,36.50%,1223,45.30%,Y
2017-2018,10,62117,6005847,Fresno,Clovis Unified,Cole Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,755,336,44.50%,407,53.90%,738,326,44.20%,396,53.70%,Y
2017-2018,10,62117,6005854,Fresno,Clovis Unified,Dry Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,873,143,16.40%,165,18.90%,861,142,16.50%,164,19.00%,Y
2017-2018,10,62117,6005862,Fresno,Clovis Unified,Fort Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,643,177,27.50%,241,37.50%,631,173,27.40%,237,37.60%,Y
2017-2018,10,62117,6005870,Fresno,Clovis Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,642,362,56.40%,418,65.10%,633,356,56.20%,412,65.10%,Y
2017-2018,10,62117,6005888,Fresno,Clovis Unified,Nelson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,552,317,57.40%,370,67.00%,543,313,57.60%,366,67.40%,Y
2017-2018,10,62117,6005904,Fresno,Clovis Unified,Sierra Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,527,402,76.30%,448,85.00%,515,392,76.10%,437,84.90%,Y
2017-2018,10,62117,6005912,Fresno,Clovis Unified,Tarpey Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,728,549,75.40%,597,82.00%,715,539,75.40%,587,82.10%,Y
2017-2018,10,62117,6005920,Fresno,Clovis Unified,Temperance-Kutner Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,718,468,65.20%,540,75.20%,708,462,65.30%,533,75.30%,Y
2017-2018,10,62117,6005938,Fresno,Clovis Unified,Weldon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,662,430,65.00%,490,74.00%,647,421,65.10%,479,74.00%,Y
2017-2018,10,62117,6066617,Fresno,Clovis Unified,Clark Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1554,614,39.50%,775,49.90%,1554,614,39.50%,775,49.90%,Y
2017-2018,10,62117,6097026,Fresno,Clovis Unified,Miramonte Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,607,395,65.10%,471,77.60%,595,386,64.90%,462,77.60%,Y
2017-2018,10,62117,6100408,Fresno,Clovis Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,688,292,42.40%,369,53.60%,682,288,42.20%,365,53.50%,Y
2017-2018,10,62117,6101190,Fresno,Clovis Unified,Kastner Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1123,420,37.40%,526,46.80%,1123,420,37.40%,526,46.80%,Y
2017-2018,10,62117,6101984,Fresno,Clovis Unified,Mickey Cox Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,631,259,41.00%,321,50.90%,616,253,41.10%,315,51.10%,Y
2017-2018,10,62117,6104624,Fresno,Clovis Unified,Mountain View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,720,317,44.00%,380,52.80%,707,311,44.00%,372,52.60%,Y
2017-2018,10,62117,6106660,Fresno,Clovis Unified,Gettysburg Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,672,252,37.50%,291,43.30%,665,250,37.60%,289,43.50%,Y
2017-2018,10,62117,6108088,Fresno,Clovis Unified,Fancher Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,837,514,61.40%,617,73.70%,823,506,61.50%,607,73.80%,Y
2017-2018,10,62117,6108096,Fresno,Clovis Unified,Valley Oak Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,492,104,21.10%,135,27.40%,486,103,21.20%,133,27.40%,Y
2017-2018,10,62117,6109235,Fresno,Clovis Unified,Pinedale Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,574,464,80.80%,500,87.10%,565,456,80.70%,492,87.10%,Y
2017-2018,10,62117,6109243,Fresno,Clovis Unified,Red Bank Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,789,177,22.40%,229,29.00%,776,177,22.80%,228,29.40%,Y
2017-2018,10,62117,6109912,Fresno,Clovis Unified,Alta Sierra Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1428,422,29.60%,522,36.60%,1428,422,29.60%,522,36.60%,Y
2017-2018,10,62117,6109920,Fresno,Clovis Unified,Liberty Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,594,152,25.60%,196,33.00%,586,150,25.60%,193,32.90%,Y
2017-2018,10,62117,6110258,Fresno,Clovis Unified,Garfield Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,706,112,15.90%,146,20.70%,694,110,15.90%,144,20.70%,Y
2017-2018,10,62117,6112742,Fresno,Clovis Unified,Maple Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,636,174,27.40%,212,33.30%,629,172,27.30%,210,33.40%,Y
