CDS_CODE,ETHNIC,GENDER,E7,E8,E9,E10,E11,E12,EUS,ETOT,D7,D8,D9,D10,D11,D12,DUS,DTOT,YEAR
1.61119E+12,3,F,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1617
1.61119E+12,4,M,0,0,2,6,2,5,0,15,0,0,0,0,0,0,0,0,1617
1.61119E+12,4,F,0,0,3,0,2,1,0,6,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,M,0,0,1,1,1,3,0,6,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,F,0,0,2,1,3,5,0,11,0,0,0,0,0,0,0,0,1617
1.61119E+12,6,M,0,0,0,3,2,0,0,5,0,0,0,0,0,0,0,0,1617
1.61119E+12,6,F,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1617
1.61119E+12,7,M,0,0,7,6,1,1,0,15,0,0,0,0,0,0,0,0,1617
1.61119E+12,7,F,0,0,8,4,2,1,0,15,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,M,0,0,2,1,0,1,0,4,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,F,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1617
1.61119E+12,0,M,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1617
1.61119E+12,0,F,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1617
1.61119E+12,1,F,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,M,3,4,1,0,2,1,0,4,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,F,1,1,0,1,3,3,0,7,0,0,0,0,0,0,0,0,1617
1.61119E+12,4,M,2,1,2,0,2,0,0,4,0,0,0,0,0,0,0,0,1617
1.61119E+12,4,F,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,M,4,7,6,4,1,2,0,13,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,F,5,4,5,5,4,2,0,16,0,0,0,0,0,0,0,0,1617
1.61119E+12,6,M,3,2,12,4,8,1,0,25,0,0,0,0,1,0,0,1,1617
1.61119E+12,6,F,8,6,2,6,5,2,0,15,0,0,0,0,0,0,0,0,1617
1.61119E+12,7,M,7,6,2,2,4,2,0,10,0,0,0,0,0,0,0,0,1617
1.61119E+12,7,F,2,6,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,M,3,5,2,3,1,1,0,7,1,0,0,0,0,0,0,0,1617
1.61119E+12,9,F,1,2,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,M,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,F,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,3,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,4,M,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,4,F,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,M,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,F,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,6,M,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,6,F,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,7,M,29,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,7,F,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,M,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,F,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1617
1.61119E+12,0,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.61119E+12,0,F,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1617
1.61119E+12,1,M,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1617
1.61119E+12,1,F,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,M,0,0,81,78,96,91,9,355,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,F,0,0,93,85,85,91,6,360,0,0,0,0,0,0,0,0,1617
1.61119E+12,3,M,0,0,0,2,2,1,0,5,0,0,0,0,0,0,0,0,1617
1.61119E+12,3,F,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,1617
1.61119E+12,4,M,0,0,14,7,18,8,1,48,0,0,0,0,0,0,0,0,1617
1.61119E+12,4,F,0,0,14,18,15,9,0,56,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,M,0,0,30,31,27,24,4,116,0,0,0,0,0,1,0,1,1617
1.61119E+12,5,F,0,0,18,27,19,21,0,85,0,0,0,0,0,0,0,0,1617
1.61119E+12,6,M,0,0,16,16,16,8,4,60,0,0,0,0,0,0,0,0,1617
1.61119E+12,6,F,0,0,10,14,9,15,3,51,0,0,0,0,0,1,0,1,1617
1.61119E+12,7,M,0,0,65,60,78,61,8,272,0,0,0,1,0,1,0,2,1617
1.61119E+12,7,F,0,0,80,66,58,75,5,284,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,M,0,0,11,15,13,7,0,46,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,F,0,0,11,14,8,5,0,38,0,0,0,0,0,0,0,0,1617
1.61119E+12,0,M,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1617
1.61119E+12,0,F,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1617
1.61119E+12,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,M,9,7,5,6,7,3,0,21,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,F,1,7,4,3,2,7,0,16,0,0,0,0,0,1,0,1,1617
1.61119E+12,4,M,1,1,2,1,3,3,0,9,0,0,0,0,0,0,0,0,1617
1.61119E+12,4,F,5,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,M,4,5,5,4,7,7,0,23,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,F,5,3,6,4,8,3,0,21,0,0,0,0,0,0,0,0,1617
1.61119E+12,6,M,1,1,1,5,2,1,0,9,0,0,0,0,0,0,0,0,1617
1.61119E+12,6,F,3,0,1,4,0,4,0,9,0,0,0,1,0,0,0,1,1617
1.61119E+12,7,M,10,17,14,10,10,7,0,41,0,0,0,0,0,0,0,0,1617
1.61119E+12,7,F,15,13,8,10,4,10,0,32,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,M,3,3,1,3,4,4,0,12,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,F,1,3,3,1,1,2,0,7,0,0,0,0,0,0,0,0,1617
1.61119E+12,1,F,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,M,0,0,24,33,12,17,0,86,0,0,2,1,1,1,0,5,1617
1.61119E+12,5,F,0,0,16,19,26,12,0,73,0,0,0,3,1,1,0,5,1617
1.61119E+12,6,M,0,0,3,1,0,1,0,5,0,0,0,0,0,0,0,0,1617
1.61119E+12,6,F,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,1617
1.61119E+12,7,M,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1617
