CDS_CODE,COUNTY,DISTRICT,SCHOOL,HISPANIC,AM_IND,ASIAN,PAC_ISLD,FILIPINO,AFRICAN_AM,WHITE,TWO_MORE_RACES,NOT_REPORTED,TOTAL,YEAR
1.10017E+12,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,37,1,2,0,0,24,5,0,0,69,1617
1.10017E+12,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,Alameda,Alameda County Office of Education,Alameda County Community,0,0,0,0,0,0,0,0,0,0,1617
1.31617E+12,Alameda,California School for the Deaf-Fremont (State Spec,California School for the Deaf-Fremont,0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",0,0,0,0,0,0,0,0,0,0,1617
1.61119E+12,Alameda,Alameda Unified,Alameda Science and Technology Institute,8,0,24,1,5,1,2,1,0,42,1617
1.61119E+12,Alameda,Alameda Unified,Nea Community Learning Center,4,1,4,0,0,3,3,1,0,16,1617
1.61119E+12,Alameda,Alameda Unified,Alameda High,17,1,135,0,7,13,83,6,0,262,1617
1.61119E+12,Alameda,Alameda Unified,Alameda Community Learning Center,8,1,10,0,1,1,14,6,0,41,1617
1.61119E+12,Alameda,Alameda Unified,Alternatives in Action,26,0,0,0,0,0,0,0,1,27,1617
1.61119E+12,Alameda,Alameda Unified,Encinal Junior/Senior High,10,0,25,0,19,13,13,2,0,82,1617
1.61119E+12,Alameda,Alameda Unified,Island High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.61127E+12,Alameda,Albany City Unified,MacGregor High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.61127E+12,Alameda,Albany City Unified,Albany High,21,0,56,0,0,6,77,15,0,175,1617
1.61143E+12,Alameda,Berkeley Unified,REALM Charter High,17,0,1,1,1,13,1,1,1,36,1617
1.61143E+12,Alameda,Berkeley Unified,Berkeley High,7,0,2,0,1,14,9,2,0,35,1617
1.61143E+12,Alameda,Berkeley Unified,Berkeley Technology Academy,0,0,0,0,0,0,0,0,0,0,1617
1.6115E+12,Alameda,Castro Valley Unified,Castro Valley High,77,0,117,3,29,23,119,35,5,408,1617
1.6115E+12,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,0,0,0,0,0,0,0,0,0,0,1617
1.6115E+12,Alameda,Castro Valley Unified,Redwood Continuation High,0,0,0,0,0,1,1,0,0,2,1617
1.61168E+12,Alameda,Emery Unified,Emery Secondary,1,0,3,0,0,4,1,2,0,11,1617
1.61176E+12,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",0,0,0,0,0,0,0,0,0,0,1617
1.61176E+12,Alameda,Fremont Unified,American High,20,1,224,3,39,5,50,4,0,346,1617
1.61176E+12,Alameda,Fremont Unified,Robertson High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.61176E+12,Alameda,Fremont Unified,Vista Alternative,0,0,0,0,0,0,0,0,0,0,1617
1.61176E+12,Alameda,Fremont Unified,Circle of Independent Learning,1,0,7,0,0,0,3,0,0,11,1617
1.61176E+12,Alameda,Fremont Unified,Irvington High,14,0,236,4,27,3,51,3,0,338,1617
1.61176E+12,Alameda,Fremont Unified,John F. Kennedy High,31,0,57,3,16,10,43,3,0,163,1617
1.61176E+12,Alameda,Fremont Unified,Mission San Jose High,2,0,397,1,5,0,18,1,0,424,1617
1.61176E+12,Alameda,Fremont Unified,Washington High,23,0,110,1,19,3,64,7,0,227,1617
1.61192E+12,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",0,0,0,0,0,0,0,0,0,0,1617
1.61192E+12,Alameda,Hayward Unified,Leadership Public Schools - Hayward,76,0,14,4,12,4,5,3,0,118,1617
1.61192E+12,Alameda,Hayward Unified,Impact Academy of Arts & Technology,78,0,4,1,5,8,7,5,0,108,1617
1.61192E+12,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,22,0,2,0,0,3,5,0,2,34,1617
1.61192E+12,Alameda,Hayward Unified,Brenkwitz High,0,0,0,0,0,0,0,0,0,0,1617
1.61192E+12,Alameda,Hayward Unified,Hayward High,69,0,13,1,10,18,9,5,0,125,1617
1.61192E+12,Alameda,Hayward Unified,Mt. Eden High,84,2,49,7,41,17,9,2,0,211,1617
1.61192E+12,Alameda,Hayward Unified,Tennyson High,67,0,14,8,6,2,4,0,0,101,1617
1.612E+12,Alameda,Livermore Valley Joint Unified,Livermore Valley Charter Preparatory High,13,0,7,0,2,0,37,6,0,65,1617
1.612E+12,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,0,0,0,0,0,0,5,0,0,5,1617
1.612E+12,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,0,0,0,0,0,0,0,0,0,0,1617
1.612E+12,Alameda,Livermore Valley Joint Unified,Granada High,28,1,18,1,6,2,156,15,0,227,1617
1.612E+12,Alameda,Livermore Valley Joint Unified,Livermore High,42,0,16,0,12,4,130,14,0,218,1617
1.61234E+12,Alameda,Newark Unified,Newark Memorial High,37,0,21,0,22,4,25,3,0,112,1617
1.61234E+12,Alameda,Newark Unified,Crossroads High (Alternative),0,0,0,0,0,0,0,0,0,0,1617
1.61234E+12,Alameda,Newark Unified,Bridgepoint High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.61242E+12,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,0,0,0,0,0,0,0,0,0,0,1617
1.61242E+12,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo H,0,0,0,0,0,0,0,0,0,0,1617
1.61242E+12,Alameda,New Haven Unified,Decoto School for Independent Study,1,0,0,0,0,0,1,0,0,2,1617
1.61242E+12,Alameda,New Haven Unified,James Logan High,90,0,107,11,100,13,20,16,0,357,1617
1.61259E+12,Alameda,Oakland Unified,"Nonpublic, Nonsectarian Schools",0,0,0,0,0,1,0,0,0,1,1617
1.61259E+12,Alameda,Oakland Unified,Oakland Unity High,51,0,0,0,0,4,0,0,2,57,1617
1.61259E+12,Alameda,Oakland Unified,MetWest High,15,1,2,0,1,8,1,1,0,29,1617
1.61259E+12,Alameda,Oakland Unified,Bay Area Technology,7,0,0,0,0,8,2,0,1,18,1617
1.61259E+12,Alameda,Oakland Unified,Lighthouse Community Charter High,39,0,1,0,0,3,0,5,0,48,1617
1.61259E+12,Alameda,Oakland Unified,McClymonds High,2,0,1,0,0,21,0,1,2,27,1617
1.61259E+12,Alameda,Oakland Unified,American Indian Public High,4,0,16,0,0,6,0,1,0,27,1617
1.61259E+12,Alameda,Oakland Unified,Coliseum College Prep Academy,42,0,0,1,0,5,0,0,0,48,1617
1.61259E+12,Alameda,Oakland Unified,Oakland Charter High,28,0,34,0,1,4,0,0,0,67,1617
